source_task,target_task,seed,source_matrix,target_matrix,is_identity_pair,probe_steps,task_gradient_norm,C_mse_avg_grad,C_mse_mean_cosine,mse_gradient_norm,task_mse_dot_product,raw_mse_distance,C_wasserstein_avg_grad,C_wasserstein_mean_cosine,wasserstein_gradient_norm,task_wasserstein_dot_product,raw_wasserstein_distance,C_kl_avg_grad,C_kl_mean_cosine,kl_gradient_norm,task_kl_dot_product,raw_kl_distance,zero_shot_source_return,zero_shot_source_success_rate,matrix_frobenius_distance,matrix_operator_distance,scratch_auc,transfer_auc,delta_auc,scratch_early_return,transfer_early_return,early_return_difference,scratch_final_return,transfer_final_return,final_return_difference,scratch_steps_to_success,transfer_steps_to_success,scratch_max_return,transfer_max_return,max_return_difference
0,0,0,"[[1.0, 0.0], [0.0, 1.0]]","[[1.0, 0.0], [0.0, 1.0]]",True,500,0.4402000281959772,0.9131054282188416,0.5270706973969936,14.400415706634522,3.3686881065368652,8.412910175323486,0.9130166172981262,0.5270159162580967,14.400438165664672,3.368366003036499,8.413333702087403,0.5748584866523743,0.3356063783168793,29.599418354034423,4.425702095031738,11.423199796676636,-4.952311552874744,1.0,0.0,0.0,-476725.70784883574,-369087.3931830749,107638.31466576084,-86.0981619104743,-75.03550138361751,11.062660526856789,-8.384526407159864,-7.204410608112812,1.1801157990470523,2000,2000,-8.04544975347817,-7.204410608112812,0.8410391453653583
0,1,0,"[[1.0, 0.0], [0.0, 1.0]]","[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]",False,500,0.5005307145416736,0.6926982998847961,0.39228521957993506,12.201986742019653,2.574632167816162,6.79040219783783,0.6925597786903381,0.39219503588974475,12.202012586593629,2.574122905731201,6.790825152397156,0.5280731916427612,0.30004364605993034,24.17059211730957,3.921665668487549,9.220515465736389,-24.174143880605698,0.0,1.0823922157287598,0.7653668522834778,-648698.5944533721,-757016.9727990404,-108318.37834566832,-66.68810987323522,-61.60097313970327,5.087136733531949,-18.092010236158966,-23.021322856470942,-4.9293126203119755,5000,7000,-8.820567884109915,-9.916391714289784,-1.095823830179869
0,2,0,"[[1.0, 0.0], [0.0, 1.0]]","[[6.123234262925839e-17, -1.0], [1.0, 6.123234262925839e-17]]",False,500,0.47010158002376556,0.10923833400011063,0.12676403652876617,10.704643368721008,0.33209311962127686,5.567378449440002,0.10942040383815765,0.12689182572066784,10.704673147201538,0.3326475918292999,5.567800831794739,0.04932550713419914,0.08164664208889008,20.258409452438354,0.28678154945373535,7.560575914382935,-97.5221497029066,0.0,2.0,1.4142135381698608,-591797.5288985297,-1599584.4066368416,-1007786.8777383119,-58.75704097822309,-62.825851978361605,-4.068811000138517,-11.19063962250948,-40.88509923443198,-29.694459611922504,5000,11000,-10.424850622564554,-15.021053818240762,-4.596203195676209
0,3,0,"[[1.0, 0.0], [0.0, 1.0]]","[[-1.0, -1.2246468525851679e-16], [1.2246468525851679e-16, -1.0]]",False,500,0.49160854518413544,-0.9914040565490723,-0.73443423807621,9.963765692710876,-3.243683338165283,4.831253564357757,-0.9911863207817078,-0.7342439452186227,9.963797211647034,-3.2429816722869873,4.831671440601349,-0.7906360626220703,-0.5950983606278897,17.932767486572267,-4.711831092834473,6.568831896781921,-316.8936872035265,0.0,2.8284270763397217,2.0,-504300.0028401613,-5713885.901851952,-5209585.899011791,-63.70247673392296,-132.46140834093094,-68.75893160700798,-9.029838279634713,-328.971122944355,-319.9412846647203,2000,,-9.029838279634713,-85.0686123341322,-76.03877405449748
0,4,0,"[[1.0, 0.0], [0.0, 1.0]]","[[1.5, 0.0], [0.0, 0.6000000238418579]]",False,500,0.5105294704437255,0.9684127569198608,0.6044021071167662,14.926567554473877,4.461233139038086,8.656376957893372,0.9683869481086731,0.6044071641750633,14.926588678359986,4.46112060546875,8.656794381141662,0.660761833190918,0.42129190992563964,30.85610294342041,6.370077133178711,11.768338108062744,-3.1267973679117858,1.0,0.6403123736381531,0.5,-324698.3183708275,-282778.18117439747,41920.137196430005,-42.662469159066674,-41.49300273321569,1.1694664258509846,-8.808139611314981,-5.5543172147125,3.253822396602481,1000,1000,-8.808139611314981,-5.5543172147125,3.253822396602481
0,5,0,"[[1.0, 0.0], [0.0, 1.0]]","[[1.0, 0.75], [0.0, 1.0]]",False,500,0.4633266270160675,0.8049096465110779,0.6412428841926158,14.339496564865112,3.8486478328704834,8.29255814552307,0.8047464489936829,0.6410863704979419,14.339519214630126,3.8478736877441406,8.292984986305237,0.5573928952217102,0.45205192640423775,29.45358247756958,5.55012321472168,11.25970642566681,-4.855568888783455,1.0,0.75,0.75,-616509.7299231216,-439425.12921988964,177084.600703232,-79.61665754020214,-69.24351978600025,10.373137754201892,-17.372056879103184,-6.833994495868683,10.5380623832345,7000,2000,-8.239772694557905,-6.833994495868683,1.4057781986892222
0,6,0,"[[1.0, 0.0], [0.0, 1.0]]","[[-1.0, 0.0], [0.0, 1.0]]",False,500,0.5256442472338676,-0.9826709628105164,-0.6655096717178821,10.340025043487548,-3.8581581115722656,4.9480987071990965,-0.9825602173805237,-0.6654058009386062,10.340055894851684,-3.8577351570129395,4.948526167869568,-0.7367535829544067,-0.5092397898435592,19.13049473762512,-5.381292343139648,6.718794560432434,-281.3787901222706,0.0,2.0,2.0,-326747.136262618,-4807565.571928024,-4480818.435665406,-51.79871624410153,-93.03308554291725,-41.23436929881572,-8.869741969183087,-279.78910830914975,-270.91936633996664,3000,,-8.869741969183087,-71.84081943929195,-62.97107747010886
0,7,0,"[[1.0, 0.0], [0.0, 1.0]]","[[0.9192387461662292, -0.4949747323989868], [0.9192387461662292, 0.4949747323989868]]",False,500,0.42460711374878884,0.7116342186927795,0.4029196262359619,12.666212368011475,2.1635782718658447,7.186709475517273,0.7119133472442627,0.4030582278966904,12.666237688064575,2.164431095123291,7.1871319770812985,0.41834884881973267,0.25033099241554735,25.274996328353883,2.574254035949707,9.758842253684998,-25.686795584857464,0.0,1.162571668624878,1.0653667449951172,-991122.533182241,-1087229.1324649006,-96106.59928265959,-70.1751860409975,-65.07867875397206,5.096507287025446,-11.498121643438935,-26.018634848296642,-14.520513204857707,10000,8000,-10.032370851561428,-23.92887075692415,-13.896499905362724
1,0,0,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[1.0, 0.0], [0.0, 1.0]]",False,500,0.4402000281959772,0.43341052532196045,0.2792640011757612,22.444172382354736,2.493422031402588,21.254619979858397,0.43337199091911316,0.27923956997692584,22.444200229644775,2.493203639984131,21.255454874038698,0.2686507999897003,0.17611183375120162,51.972578620910646,3.637241840362549,28.881311321258544,-26.11607093438506,0.0,1.0823922157287598,0.7653668522834778,-476725.70784883574,-1039577.4499684572,-562851.7421196215,-86.0981619104743,-83.1383641384542,2.95979777202011,-8.384526407159864,-26.397710958123206,-18.01318455096334,2000,8000,-8.04544975347817,-15.374881212040782,-7.3294314585626115
1,1,0,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]",True,500,0.5005307145416736,0.9901584982872009,0.5356983833713457,19.46946864128113,5.877301216125488,17.825043058395387,0.9900177121162415,0.535607437719591,19.46950058937073,5.876474857330322,17.825878286361693,0.6454185843467712,0.34799209646880624,44.55761089324951,8.841797828674316,24.220244026184083,-3.2252070566639306,1.0,0.0,0.0,-648698.5944533721,-335497.00804222375,313201.5864111483,-66.68810987323522,-56.86058443710208,9.827525436133143,-18.092010236158966,-6.430352015793323,11.661658220365643,5000,1000,-8.820567884109915,-5.853818776831031,2.9667491072788836
